;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
51;73;79;68;70;66;75;67;75;41;42;74;75;65;67;60;68;64;75;71;83;75;74;75;71;58;77;45;69;71;65;15;12;12;15;14;25;172,72;157;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
52;66;73;48;64;53;69;23;63;28;30;62;68;66;68;58;62;64;66;71;74;72;61;66;64;50;64;44;58;68;59;14;11;11;14;13;29;182,88;154;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
53;67;67;29;45;72;51;34;40;29;29;55;46;26;33;31;63;47;55;62;52;84;31;75;65;31;42;33;67;69;64;10;14;10;14;7;22;177,8;154;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
54;60;68;45;34;54;65;43;54;39;40;62;63;57;64;59;58;74;61;59;58;60;55;60;65;57;59;54;47;64;59;14;7;13;11;9;30;172,72;146;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
55;60;68;45;34;54;65;43;54;39;40;62;63;57;64;59;58;74;63;59;58;60;55;60;65;57;59;54;47;64;59;14;7;13;11;9;35;182,88;172;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
56;64;74;46;34;66;68;39;57;41;49;67;58;65;55;46;69;41;57;59;68;81;61;67;62;35;60;39;57;62;58;8;15;9;9;7;31;175,26;172;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
57;69;74;70;53;61;71;58;54;54;47;67;73;67;69;71;73;62;72;68;72;74;52;74;67;66;64;52;58;70;65;14;10;10;7;8;24;187,96;165;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
58;67;74;55;59;61;76;58;51;54;47;72;73;67;68;71;73;62;62;56;76;73;52;74;56;66;61;52;58;64;61;14;10;10;7;8;30;175,26;157;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
59;66;73;54;58;61;73;44;50;52;45;71;66;67;69;71;71;72;61;56;75;71;53;70;55;64;60;50;60;63;60;14;10;10;7;8;23;180,34;159;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
60;67;68;46;36;48;66;50;63;73;31;63;64;60;63;60;67;50;63;73;75;86;66;69;66;60;65;44;68;68;62;11;11;8;15;15;32;185,42;176;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
61;67;68;46;36;48;66;50;63;73;31;63;64;60;63;60;67;50;63;73;75;85;66;69;66;60;65;44;68;68;62;11;11;8;15;15;34;182,88;165;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
62;66;68;46;36;48;65;50;63;73;31;63;64;60;63;60;67;50;63;73;75;85;66;68;65;58;65;44;67;65;62;11;11;8;15;15;26;185,42;161;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
63;66;66;48;34;62;64;30;55;43;33;56;63;66;70;57;65;72;33;71;83;75;25;76;67;46;47;39;65;68;61;8;9;6;12;16;27;185,42;179;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
64;77;84;80;48;67;73;41;76;67;23;67;77;85;86;78;74;74;59;74;79;71;47;73;72;56;55;42;73;79;78;12;11;6;11;10;24;180,34;148;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
65;78;85;80;48;67;73;41;76;67;23;67;77;85;86;78;74;74;59;74;79;71;47;73;72;56;55;42;73;81;81;12;11;6;11;10;26;182,88;170;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
66;73;82;79;49;62;70;40;77;62;22;63;76;85;88;78;70;76;58;61;79;72;46;72;64;60;58;41;69;75;75;11;10;5;10;9;38;177,8;165;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
67;71;80;79;49;62;69;40;77;62;22;59;74;79;83;75;70;68;58;58;75;71;46;72;64;60;58;41;68;74;72;11;10;5;10;9;34;187,96;174;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
68;64;65;50;46;47;62;53;73;51;55;61;71;73;70;81;66;85;60;76;71;46;58;48;48;53;61;47;34;48;46;5;9;10;11;14;29;180,34;165;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
69;63;68;36;34;62;41;40;38;33;34;43;49;64;66;65;58;54;42;70;72;70;39;80;65;30;42;44;61;63;57;16;12;8;11;7;30;193,04;168;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
70;71;76;70;36;59;76;40;65;51;47;74;70;75;75;66;76;65;62;75;82;69;48;68;70;73;67;51;59;68;72;9;16;14;11;15;33;193,04;185;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
71;73;73;57;59;73;75;51;65;61;62;69;70;44;38;56;70;54;71;67;73;78;60;86;77;68;70;59;67;81;61;12;11;15;6;11;21;177,8;168;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
72;73;73;56;58;72;74;50;64;60;61;68;70;51;50;56;73;54;70;67;79;77;59;80;77;67;70;58;65;73;60;11;10;14;5;10;29;182,88;168;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;70;70;63;58;42;79;55;64;80;78;82;75;40;34;42;72;55;82;48;64;63;78;62;71;67;77;67;54;62;49;14;11;12;7;7;31;177,8;176;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
74;70;70;65;57;50;74;55;69;83;78;82;71;56;53;58;65;57;82;49;64;63;75;62;58;63;76;57;55;62;49;14;11;12;7;7;30;180,34;154;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
75;73;76;47;71;73;67;74;71;73;58;42;73;86;86;84;74;63;73;74;70;70;66;59;24;74;57;81;19;29;21;14;6;8;6;9;31;182,88;179;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
76;74;80;47;71;73;67;74;71;71;58;42;73;90;91;84;74;63;73;74;70;70;66;59;24;73;57;81;19;29;21;14;6;8;6;9;30;175,26;157;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
77;75;83;47;76;65;67;74;71;71;58;42;75;87;93;83;74;62;73;73;65;66;54;64;24;79;57;81;19;29;21;14;6;8;6;9;37;177,8;165;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
78;69;71;68;70;67;60;54;69;65;40;51;65;66;76;68;67;61;75;80;75;75;74;66;12;67;60;69;14;17;20;7;9;8;13;8;34;185,42;174;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
